hnid,school,field_of_study,year
0505gonzalez,Oakland Military Institute,Computer Science,2010
0505gonzalez,"University of California, Berkeley",Computer Science,2013
0leksandra,Kharkiv National University,Computer Science,2015
0x4e53,Mississippi Gulf Coast Community College,Network Security,2016
0x63_Problems,"University of California, San Diego - Jacobs School of Engineering","Computer Science, Minor In Mathematics",2018
0xDA7A,Politecnico di Milano,Biomedical Engineering,2017
0xDA7A,The Hong Kong University of Science and Technology,Electrical Engineering,2018
0xDA7A,"University of California, Berkeley",Biorobotics,2019
0xshinigami,"Indian Institute of Technology, Guwahati",Electronics And Communications Engineering,2014
0xshinigami,"University of California, Irvine",Computer Networks,2017
100k,University of Minnesota,Computer Science,2001
100kristine,"University of California, Berkeley","History, Biology",2012
100kristine,"University of California, Berkeley",Information Science,2015
1080pieces,Stanford University,Computer Science,2025
10millerse,Duke University,Computer Science,2014
10millerse,Harvard Business School Online,Disruptive Strategy,2019
110,"Birla Institute of Technology and Science, Pilani",Electronics And Instrumentation,2014
110,Dartmouth College,Computer Science,2017
14perkinss,Princeton University,"Economics, Computer Science",2018
15baraniana,"University of California, Berkeley",Structural Engineering,2020
15baraniana,University of Michigan,Civil Engineering,2018
15mariams,Duke University,Computer Science,2019
2arrs2ells,Harvard University,"Human Evolutionary Biology, Computer Science",2009
3solarmasses,University of Colorado Boulder,"Biochemistry Biochemistry, Chemistry, Physics",2004
4growers,University of Pittsburgh Swanson School of Engineering,Electrical And Electronics Engineering,2017
4thstreet,University College London,Psychology,2014
5tan,Higher School of Economics,Computer Science,2020
64jinseo,Georgia Institute of Technology,Computer Science,2021
64jinseo,National University of Singapore,Computer Science,2019
747ab,Duke University,Public Policy Studies / International Relations,2000
747ab,"The Wharton School, University of Pennsylvania",Integrated Strategy,2007
747ab,University of Pennsylvania - The Lauder Institute,"International Studies, Focus On Brazil / Portuguese Language",2007
7cupsoftea,Carnegie Mellon University,Information Systems Management,2012
7cupsoftea,Coursera,Education,2014
7cupsoftea,Stanford University,American Poverty,2017
7cupsoftea,Y Combinator,Entrepreneurship,2014
99minutos,UNIVERSIDAD IBEROAMERICANA,Industrial Engineer,2012
99minutos,"Universidad Iberoamericana, Ciudad de México",Industrial Engineering,2012
99minutos,Y Combinator,W20,2020
9ranty,University of Auckland,Marketing And Economics,2012
AChelikani,California Institute of Technology,Computer Science,2018
AJSturrock,Northumbria University,Web Design And Development,2012
AMIETHKUMAR,Ramaiah Institute ofTechnology,Computer Science And Engineering,2004
AMaurin,Classe Préparatoire Ipesup,"Mathematics, Economics, Geopolitics, Philosophy, English, Italian",2014
AMaurin,ESSEC Business School,"Finance, M&a, Strategy, Entrepreneurship, Marketing, Supply Chain, Law, Economics",2019
AOADX,Boston University,Economics,2012
ARiaskov,N-sk State Technical University,Software Engineering,2018
Aadit_KK,Stanford University,Computer Science,2020
Aayushmattoo,"National Institute of Technology, Kurukshetra",Mechanical Engineering,2015
Abasi,Claremont Colleges,Business Management,2014
Abasi,Imperial College London,Human Molecular Genetics,2009
Abasi,University of London,Cancer Biology,2013
Abhishek_A,IE Business School,Management,2009
Abhishek_A,"IE business school, Madrid",Strategy And Operations,2009
Abhishek_A,Indian School of Business,Strategy And Operations,2010
Abhishek_A,Pondicherry Engineering College,Computer Science,2002
Abhishek_A,Pondicherry University,Computer Science And Engineering,2002
Abuhashish,New York University,Computer Science And Mechanical And Aerospace Engineering,2021
AceroM,CUNY Hunter College,Computer Science,2020
AdamPro13,Michigan State University,Computer Science,2013
AdamTSaunders,University of Waterloo,"Geomatics Computer Science, Gis, Remote Sensing",2014
Adam_MacEachern,Queen's University,Biochemical Engineering,2018
Adams472,Clemson University,Economics,2006
Adedapo-Sobayo,"Obafemi Awolowo University,Ile-Ife",Economics,2013
AdriaFerr,New York University - Leonard N. Stern School of Business,Political Economics,2013
AdriaFerr,"The Wharton School, University of Pennsylvania",Entrepreneurship And Finance,2020
Adut1725,DePaul University,Business Administration,2015
Aerones,Latvijas Universitate,Computer Science,2004
Afiriarte,Colegio Alemán de Barranquilla,High School,2005
Afiriarte,Montpellier Business School,Sciences Of Management,2013
Afiriarte,Universidad del Norte,International Business,2014
Agustinovillo,Universidad Empresarial 'Siglo 21',Economía,2021
AhmadHammouda,American University in Cairo,Business Administration And Finance,2009
AhmadHammouda,CFA Institute,Finance,2011
AhmadHammouda,"John Molson School of Business, Concordia, Montreal",1 Year Exchange,2008
AkaashUnwindMe,Vanderbilt University,Public Policy / Corporate Strategy,2012
AkshajK,Massachusetts Institute of Technology,Computer Science,2022
